accuracy,precision,recall,f1,model,mechanism,rate,imputation
0.9902017291066283,0.9889753566796369,1.0,0.9944571242256276,RandomForest,MCAR,0.1,Zero
0.8201729106628242,0.8982271831910703,0.8970491803278688,0.8976377952755905,KNN,MCAR,0.1,Zero
0.8265129682997118,0.8933161953727506,0.9114754098360656,0.902304446608244,MLP,MCAR,0.1,Zero
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.1,Zero
0.18386167146974064,1.0,0.07147540983606557,0.13341493268053856,Transformer,MCAR,0.1,Zero
0.9936599423631124,0.9928385416666666,1.0,0.99640640313623,RandomForest,MCAR,0.1,Mean
0.9878962536023055,0.9947368421052631,0.9914754098360655,0.993103448275862,KNN,MCAR,0.1,Mean
0.9838616714697407,0.9850939727802981,0.9967213114754099,0.9908735332464146,MLP,MCAR,0.1,Mean
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.1,Mean
0.938328530259366,0.9603896103896103,0.9698360655737704,0.9650897226753671,Transformer,MCAR,0.1,Mean
0.9988472622478386,0.9986902423051736,1.0,0.9993446920052425,RandomForest,MCAR,0.1,KNN
0.9988472622478386,1.0,0.9986885245901639,0.9993438320209974,KNN,MCAR,0.1,KNN
1.0,1.0,1.0,1.0,MLP,MCAR,0.1,KNN
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.1,KNN
0.992507204610951,0.9928292046936115,0.9986885245901639,0.9957502451781628,Transformer,MCAR,0.1,KNN
0.9976945244956772,0.9973839110529757,1.0,0.9986902423051736,RandomForest,MCAR,0.1,MICE
0.9878962536023055,0.9947368421052631,0.9914754098360655,0.993103448275862,KNN,MCAR,0.1,MICE
0.9896253602305476,0.9960500329163924,0.9921311475409836,0.9940867279894875,MLP,MCAR,0.1,MICE
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.1,MICE
0.962536023054755,0.9866666666666667,0.9704918032786886,0.9785123966942149,Transformer,MCAR,0.1,MICE
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,RandomForest,MCAR,0.1,AE
0.8749279538904899,0.8824561403508772,0.9895081967213115,0.9329211746522411,KNN,MCAR,0.1,AE
0.8720461095100864,0.8798833819241982,0.9895081967213115,0.9314814814814815,MLP,MCAR,0.1,AE
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.1,AE
0.6668587896253603,0.8865306122448979,0.7121311475409836,0.7898181818181819,Transformer,MCAR,0.1,AE
0.9429394812680115,0.9390394088669951,1.0,0.9685614480787551,RandomForest,MCAR,0.2,Zero
0.8380403458213257,0.8825338253382534,0.940983606557377,0.9108219612821327,KNN,MCAR,0.2,Zero
0.8305475504322767,0.8893105629348513,0.921967213114754,0.9053444945267225,MLP,MCAR,0.2,Zero
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.2,Zero
0.12219020172910663,1.0,0.0013114754098360656,0.0026195153896529143,Transformer,MCAR,0.2,Zero
0.9510086455331412,0.9472049689440993,1.0,0.9728867623604466,RandomForest,MCAR,0.2,Mean
0.9498559077809798,0.9736495388669302,0.9691803278688524,0.9714097929674663,KNN,MCAR,0.2,Mean
0.9613832853025936,0.9703225806451613,0.9862295081967213,0.9782113821138212,MLP,MCAR,0.2,Mean
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.2,Mean
0.884149855907781,0.9326797385620915,0.9357377049180328,0.9342062193126023,Transformer,MCAR,0.2,Mean
0.9988472622478386,0.9986902423051736,1.0,0.9993446920052425,RandomForest,MCAR,0.2,KNN
0.9994236311239193,1.0,0.999344262295082,0.9996720236142997,KNN,MCAR,0.2,KNN
0.9994236311239193,0.9993446920052425,1.0,0.9996722386102918,MLP,MCAR,0.2,KNN
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.2,KNN
0.9942363112391931,0.9947746570868713,0.9986885245901639,0.9967277486910995,Transformer,MCAR,0.2,KNN
0.9965417867435159,0.9967298888162197,0.999344262295082,0.9980353634577603,RandomForest,MCAR,0.2,MICE
0.9769452449567724,0.9868852459016394,0.9868852459016394,0.9868852459016394,KNN,MCAR,0.2,MICE
0.947550432276657,0.9760956175298805,0.9639344262295082,0.9699769053117783,MLP,MCAR,0.2,MICE
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.2,MICE
0.8847262247838616,0.9688605803255484,0.8977049180327868,0.9319264805990469,Transformer,MCAR,0.2,MICE
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,RandomForest,MCAR,0.2,AE
0.8622478386167147,0.885954381752701,0.9678688524590164,0.9251018489501723,KNN,MCAR,0.2,AE
0.8507204610951009,0.8794964028776978,0.9619672131147541,0.918885061071093,MLP,MCAR,0.2,AE
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.2,AE
0.6103746397694525,0.9008498583569405,0.6255737704918033,0.7383900928792569,Transformer,MCAR,0.2,AE
0.8974063400576369,0.8954785672342924,1.0,0.9448574969021065,RandomForest,MCAR,0.3,Zero
0.8599423631123919,0.8770588235294118,0.9777049180327869,0.9246511627906977,KNN,MCAR,0.3,Zero
0.8247838616714698,0.8827586206896552,0.9232786885245902,0.9025641025641026,MLP,MCAR,0.3,Zero
0.8789625360230547,0.8789625360230547,1.0,0.9355828220858896,CNN,MCAR,0.3,Zero
0.12103746397694524,0.0,0.0,0.0,Transformer,MCAR,0.3,Zero
